iter	Logloss
0	0.6888231107
1	0.6844936967
2	0.680212598
3	0.6763177175
4	0.6719871951
5	0.6679836858
6	0.664084886
7	0.6600837451
8	0.6562235638
9	0.6526003449
10	0.6489402598
11	0.645255312
12	0.6415661575
13	0.6383000391
14	0.6349303302
15	0.6318092478
16	0.6287364198
17	0.625474171
18	0.6224136179
19	0.6193128894
20	0.6164172742
21	0.6135454476
22	0.6105588376
23	0.607700674
24	0.6050350574
25	0.6026205075
26	0.5997722954
27	0.5971559707
28	0.5945651496
29	0.5919449035
30	0.5893758965
31	0.5870055303
32	0.5844311383
33	0.5820807406
34	0.5804983112
35	0.5779430931
36	0.576092973
37	0.57356787
38	0.5712582838
39	0.568909535
40	0.566725407
41	0.5646116375
42	0.5625155474
43	0.5605455134
44	0.558583281
45	0.5568178615
46	0.5550020732
47	0.5532014323
48	0.5510755294
49	0.5491535203
50	0.5471679671
51	0.5453469027
52	0.5434882929
53	0.5415509963
54	0.5400939606
55	0.5383447096
56	0.5366134565
57	0.53483507
58	0.5336151626
59	0.532017859
60	0.5305278216
61	0.5288771643
62	0.5270642185
63	0.5257564977
64	0.524126023
65	0.5227847452
66	0.5215537015
67	0.5204541017
68	0.519135741
69	0.5178792774
70	0.5162948882
71	0.5149974807
72	0.5137307967
73	0.5123186594
74	0.5112070407
75	0.5100493796
76	0.508766929
77	0.5074595073
78	0.5059882235
79	0.5047964775
80	0.5035552647
81	0.5024238323
82	0.501144209
83	0.4996496493
84	0.4984499372
85	0.4972896248
86	0.4962422049
87	0.4951008498
88	0.4938768504
89	0.4924464513
90	0.4915399687
91	0.4903328805
92	0.4891096919
93	0.4879510152
94	0.4870673459
95	0.4857981156
96	0.4849231416
97	0.4840014434
98	0.4830544498
99	0.4821847266
