iter	Passed	Remaining
0	6128	606699
1	12579	616411
2	18770	606921
3	19511	468283
4	26103	495967
5	26827	420293
6	33297	442376
7	39705	456618
8	45783	462924
9	51858	466725
10	58213	470998
11	65157	477823
12	71734	480070
13	78612	482904
14	84610	479459
15	90743	476405
16	96817	472697
17	98285	447745
18	104526	445611
19	110581	442324
20	116736	439152
21	123850	439106
22	130551	437064
23	137536	435533
24	143937	431813
25	150278	427714
26	156745	423792
27	163016	419185
28	169973	416142
29	176866	412688
30	183562	408574
31	190395	404590
32	196522	399000
33	202970	394002
34	203054	377101
35	209873	373108
36	211436	360012
37	218692	356813
38	224852	351692
39	230889	346334
40	237421	341655
41	240180	331677
42	246488	326740
43	252500	321364
44	259303	316926
45	264863	310926
46	270998	305594
47	277883	301040
48	284385	295993
49	290772	290772
50	297298	285640
51	304314	280905
52	311474	276212
53	318600	271400
54	326056	266773
55	332539	261281
56	338548	255396
57	344299	249320
58	344464	239373
59	350465	233643
60	356576	227975
61	359277	220202
62	365988	214945
63	367577	206762
64	374113	201445
65	380440	195984
66	386816	190521
67	393480	185167
68	399941	179684
69	401372	172016
70	407558	166467
71	413714	160888
72	419969	155331
73	426191	149743
74	432332	144110
75	433057	136755
76	439371	131240
77	445547	125667
78	451695	120071
79	458255	114563
80	465249	109132
81	471483	103496
82	477557	97812
83	483662	92126
84	490303	86524
85	497269	80950
86	503951	75303
87	510538	69618
88	517389	63946
89	523470	58163
90	529543	52372
91	535103	46530
92	541749	40776
93	548298	34997
94	555321	29227
95	561626	23401
96	568374	17578
97	574518	11724
98	580870	5867
99	586993	0
